R,G,bestF,avgF
4,14,314.0,303.336
4,15,314.0,304.376
4,16,316.0,305.566
4,17,317.0,306.406
4,18,319.0,307.47
4,19,318.0,308.47
4,20,320.0,309.228
4,21,318.0,309.756
4,22,319.0,310.81
4,23,320.0,311.688
4,24,320.0,312.446
4,25,320.0,312.942
4,26,321.0,313.184
4,27,321.0,314.05
4,28,321.0,314.634
4,29,321.0,315.196
4,30,321.0,315.6
4,31,321.0,315.996
4,32,321.0,316.47
4,33,322.0,316.726
4,34,322.0,317.108
4,35,322.0,317.41
4,36,322.0,317.576
4,37,322.0,317.908
4,38,322.0,318.06
4,39,322.0,318.166
4,40,323.0,318.47
4,41,322.0,318.576
4,42,323.0,318.812
4,43,323.0,318.818
4,44,323.0,318.862
4,45,323.0,319.006
4,46,323.0,318.808
4,47,323.0,318.864
4,48,323.0,318.948
4,49,322.0,318.98
4,50,322.0,319.282
4,51,323.0,319.422
4,52,322.0,319.602
4,53,322.0,319.564
4,54,322.0,319.592
4,55,322.0,319.734
4,56,322.0,319.606
4,57,322.0,319.746
4,58,323.0,319.714
4,59,323.0,319.72
4,60,323.0,319.674
4,61,323.0,319.814
4,62,322.0,319.724
4,63,322.0,319.906
4,64,322.0,319.95
4,65,323.0,320.132
4,66,323.0,319.968
4,67,323.0,320.056
4,68,322.0,320.082
4,69,323.0,320.084
4,70,323.0,320.126
4,71,323.0,320.052
4,72,323.0,319.924
4,73,323.0,319.972
4,74,323.0,319.826
4,75,323.0,319.938
4,76,323.0,319.844
4,77,323.0,319.83
4,78,323.0,319.818
4,79,323.0,319.938
4,80,323.0,319.926
4,81,323.0,319.902
4,82,323.0,319.756
4,83,323.0,319.926
4,84,323.0,319.936
4,85,323.0,319.9
4,86,322.0,319.778
4,87,322.0,319.838
4,88,323.0,319.854
4,89,323.0,319.812
4,90,322.0,319.816
4,91,323.0,319.908
4,92,322.0,320.026
4,93,322.0,319.914
4,94,322.0,319.954
4,95,322.0,320.0
4,96,322.0,319.976
4,97,323.0,320.034
4,98,322.0,320.034
4,99,323.0,320.178
4,100,323.0,320.06
4,101,322.0,319.948
4,102,322.0,319.732
4,103,322.0,319.844
4,104,323.0,320.016
4,105,323.0,319.956
4,106,323.0,320.014
4,107,323.0,319.95
4,108,323.0,319.798
4,109,322.0,320.0
4,110,323.0,319.88
4,111,322.0,319.938
4,112,323.0,319.832
4,113,323.0,319.822
4,114,323.0,319.922
4,115,323.0,320.034
4,116,323.0,320.102
4,117,323.0,319.998
4,118,323.0,319.938
4,119,323.0,319.846
4,120,323.0,319.874
4,121,323.0,319.954
4,122,323.0,320.084
4,123,323.0,320.074
4,124,323.0,320.054
4,125,323.0,320.03
4,126,323.0,319.978
4,127,323.0,319.85
4,128,323.0,320.004
4,129,323.0,320.162
4,130,323.0,320.122
4,131,323.0,320.418
4,132,323.0,320.3
4,133,323.0,320.104
4,134,323.0,320.206
4,135,323.0,320.262
4,136,323.0,320.348
4,137,323.0,320.646
4,138,323.0,320.62
4,139,323.0,320.574
4,140,323.0,320.748
4,141,323.0,320.91
4,142,323.0,320.882
4,143,323.0,321.008
4,144,323.0,320.996
4,145,323.0,321.0
4,146,323.0,321.01
4,147,323.0,320.886
4,148,323.0,320.878
4,149,323.0,320.676
4,150,323.0,320.6
4,151,323.0,320.346
4,152,323.0,320.498
4,153,323.0,320.738
4,154,323.0,320.846
4,155,323.0,320.75
4,156,323.0,320.744
4,157,323.0,320.79
4,158,323.0,320.866
4,159,323.0,320.802
4,160,323.0,320.798
4,161,323.0,320.726
4,162,323.0,320.686
4,163,323.0,320.792
4,164,323.0,320.748
4,165,323.0,320.656
4,166,323.0,320.778
4,167,323.0,320.664
4,168,323.0,320.728
4,169,323.0,320.792
4,170,323.0,320.768
4,171,323.0,320.734
4,172,323.0,320.612
4,173,323.0,320.77
4,174,323.0,320.86
4,175,323.0,320.754
4,176,323.0,320.69
4,177,323.0,320.82
4,178,323.0,320.816
4,179,323.0,320.914
4,180,323.0,320.76
4,181,323.0,320.82
4,182,323.0,320.824
4,183,323.0,320.998
4,184,323.0,320.87
4,185,323.0,320.712
4,186,323.0,320.836
4,187,323.0,320.818
4,188,323.0,321.018
4,189,323.0,320.776
4,190,323.0,320.612
4,191,323.0,320.724
4,192,323.0,320.65
4,193,323.0,320.646
4,194,323.0,320.788
4,195,323.0,320.748
4,196,323.0,320.788
4,197,323.0,320.896
4,198,323.0,320.734
4,199,323.0,320.684
5,0,300.0,284.254
5,1,302.0,286.662
5,2,305.0,288.55
5,3,309.0,290.024
5,4,309.0,291.87
5,5,308.0,293.552
5,6,311.0,294.474
5,7,313.0,296.1
5,8,312.0,297.374
5,9,312.0,299.178
5,10,312.0,300.33
5,11,313.0,301.918
5,12,313.0,302.866
5,13,316.0,304.172
5,14,318.0,305.65
5,15,317.0,306.642
5,16,319.0,307.816
5,17,320.0,309.156
5,18,320.0,310.154
5,19,321.0,311.094
5,20,320.0,311.726
5,21,320.0,312.42
5,22,321.0,313.528
5,23,321.0,314.31
5,24,322.0,314.922
5,25,322.0,315.678
5,26,323.0,316.038
5,27,322.0,316.574
5,28,323.0,317.164
5,29,323.0,317.622
5,30,323.0,317.878
5,31,323.0,318.3
5,32,323.0,318.45
5,33,323.0,318.664
5,34,323.0,318.826
5,35,323.0,318.982
5,36,323.0,319.18
