XR,R,G,bestF,avgF
1,42,1,89.0,81.232
1,42,2,89.0,82.316
1,42,3,89.0,83.154
1,42,4,89.0,83.818
1,42,5,89.0,84.378
1,42,6,89.0,84.844
1,42,7,90.0,85.298
1,42,8,90.0,85.63
1,42,9,90.0,85.932
1,42,10,90.0,86.21
1,42,11,90.0,86.456
1,42,12,90.0,86.744
1,42,13,90.0,86.924
1,42,14,91.0,87.092
1,43,0,88.0,79.408
1,43,1,89.0,80.864
1,43,2,89.0,81.972
1,43,3,89.0,82.96
1,43,4,89.0,83.738
1,43,5,89.0,84.23
1,43,6,89.0,84.694
1,43,7,89.0,85.06
1,43,8,89.0,85.462
1,43,9,89.0,85.828
1,43,10,90.0,86.166
1,43,11,90.0,86.428
1,43,12,90.0,86.676
1,43,13,90.0,86.898
1,43,14,90.0,87.07
1,43,15,90.0,87.222
1,43,16,90.0,87.392
1,43,17,90.0,87.512
1,43,18,90.0,87.626
1,43,19,90.0,87.728
1,43,20,90.0,87.79
1,43,21,90.0,87.882
1,43,22,90.0,87.95
1,43,23,90.0,88.03
1,43,24,91.0,88.118
1,44,0,88.0,79.312
1,44,1,89.0,80.838
1,44,2,89.0,81.908
1,44,3,89.0,82.754
1,44,4,89.0,83.432
1,44,5,90.0,83.992
1,44,6,90.0,84.532
1,44,7,90.0,84.97
1,44,8,90.0,85.34
1,44,9,90.0,85.672
1,44,10,90.0,86.066
1,44,11,90.0,86.348
1,44,12,90.0,86.618
1,44,13,90.0,86.83
1,44,14,90.0,87.06
1,44,15,90.0,87.22
1,44,16,90.0,87.372
1,44,17,90.0,87.496
1,44,18,90.0,87.594
1,44,19,90.0,87.722
1,44,20,91.0,87.836
1,45,0,88.0,79.718
1,45,1,89.0,81.104
1,45,2,89.0,82.21
1,45,3,89.0,83.102
1,45,4,89.0,83.802
1,45,5,90.0,84.444
1,45,6,90.0,84.922
1,45,7,90.0,85.406
1,45,8,90.0,85.74
1,45,9,91.0,86.038
1,46,0,89.0,79.74
1,46,1,89.0,81.05
1,46,2,89.0,82.04
1,46,3,89.0,82.968
1,46,4,89.0,83.626
1,46,5,89.0,84.184
1,46,6,90.0,84.698
1,46,7,90.0,85.136
1,46,8,90.0,85.572
1,46,9,90.0,85.922
1,46,10,90.0,86.174
1,46,11,90.0,86.408
1,46,12,90.0,86.666
1,46,13,90.0,86.898
1,46,14,90.0,87.07
1,46,15,91.0,87.288
1,47,0,89.0,79.686
1,47,1,89.0,81.08
1,47,2,89.0,82.278
1,47,3,89.0,83.148
1,47,4,89.0,83.8
1,47,5,90.0,84.36
1,47,6,90.0,84.908
1,47,7,90.0,85.374
1,47,8,90.0,85.724
1,47,9,90.0,86.056
1,47,10,90.0,86.338
1,47,11,90.0,86.606
1,47,12,90.0,86.776
1,47,13,90.0,86.986
1,47,14,90.0,87.16
1,47,15,90.0,87.298
1,47,16,90.0,87.458
1,47,17,90.0,87.558
1,47,18,90.0,87.678
1,47,19,90.0,87.758
1,47,20,90.0,87.854
1,47,21,90.0,87.932
1,47,22,91.0,88.026
1,48,0,88.0,79.592
1,48,1,88.0,81.186
1,48,2,89.0,82.388
1,48,3,89.0,83.214
1,48,4,89.0,83.888
1,48,5,90.0,84.5
1,48,6,90.0,84.942
1,48,7,90.0,85.362
1,48,8,90.0,85.618
1,48,9,90.0,85.906
1,48,10,90.0,86.184
1,48,11,90.0,86.444
1,48,12,90.0,86.63
1,48,13,90.0,86.842
1,48,14,90.0,87.038
1,48,15,90.0,87.238
1,48,16,90.0,87.38
1,48,17,90.0,87.498
1,48,18,90.0,87.614
1,48,19,90.0,87.712
1,48,20,90.0,87.816
1,48,21,90.0,87.92
1,48,22,90.0,87.98
1,48,23,91.0,88.072
1,49,0,89.0,79.842
1,49,1,90.0,81.252
1,49,2,90.0,82.368
1,49,3,90.0,83.198
1,49,4,90.0,83.928
1,49,5,90.0,84.51
1,49,6,90.0,85.088
1,49,7,90.0,85.466
1,49,8,90.0,85.782
1,49,9,90.0,86.092
1,49,10,90.0,86.398
1,49,11,90.0,86.646
1,49,12,90.0,86.846
1,49,13,90.0,87.056
1,49,14,90.0,87.204
1,49,15,91.0,87.34
1,50,0,88.0,79.574
1,50,1,88.0,80.902
1,50,2,88.0,82.026
1,50,3,89.0,82.842
1,50,4,89.0,83.562
1,50,5,89.0,84.214
1,50,6,89.0,84.764
1,50,7,89.0,85.176
1,50,8,89.0,85.54
1,50,9,89.0,85.89
1,50,10,89.0,86.18
1,50,11,90.0,86.456
1,50,12,91.0,86.684
1,51,0,88.0,79.88
1,51,1,88.0,81.356
1,51,2,89.0,82.394
1,51,3,89.0,83.148
1,51,4,89.0,83.726
1,51,5,90.0,84.24
1,51,6,90.0,84.744
1,51,7,90.0,85.19
1,51,8,90.0,85.582
1,51,9,91.0,85.906
1,52,0,87.0,79.594
1,52,1,88.0,81.054
1,52,2,90.0,82.258
1,52,3,90.0,83.086
1,52,4,90.0,83.784
1,52,5,90.0,84.332
1,52,6,90.0,84.844
1,52,7,91.0,85.27
1,53,0,88.0,79.626
1,53,1,90.0,81.202
1,53,2,90.0,82.26
1,53,3,90.0,83.226
1,53,4,90.0,83.97
1,53,5,90.0,84.538
1,53,6,90.0,85.028
1,53,7,90.0,85.336
1,53,8,90.0,85.664
1,53,9,90.0,85.956
1,53,10,90.0,86.168
1,53,11,90.0,86.442
1,53,12,90.0,86.706
1,53,13,90.0,86.892
1,53,14,90.0,87.08
1,53,15,90.0,87.232
1,53,16,90.0,87.408
1,53,17,90.0,87.54
1,53,18,90.0,87.652
1,53,19,90.0,87.746
1,53,20,90.0,87.86
1,53,21,90.0,87.946
1,53,22,90.0,88.05
1,53,23,90.0,88.124
1,53,24,91.0,88.2
1,54,0,88.0,79.722
1,54,1,88.0,81.232
1,54,2,89.0,82.236
1,54,3,89.0,83.094
1,54,4,89.0,83.73
1,54,5,89.0,84.284
1,54,6,89.0,84.752
1,54,7,89.0,85.2
1,54,8,89.0,85.554
1,54,9,89.0,85.87
1,54,10,89.0,86.172
1,54,11,89.0,86.418
1,54,12,89.0,86.628
1,54,13,90.0,86.806
1,54,14,90.0,86.994
1,54,15,90.0,87.138
1,54,16,90.0,87.28
1,54,17,90.0,87.452
1,54,18,90.0,87.546
1,54,19,90.0,87.67
1,54,20,90.0,87.76
1,54,21,90.0,87.882
1,54,22,90.0,87.972
1,54,23,90.0,88.08
1,54,24,90.0,88.162
1,54,25,90.0,88.216
1,54,26,90.0,88.28
1,54,27,90.0,88.334
1,54,28,90.0,88.376
1,54,29,90.0,88.412
1,54,30,90.0,88.462
1,54,31,90.0,88.512
1,54,32,90.0,88.542
1,54,33,91.0,88.58
1,55,0,90.0,79.388
1,55,1,90.0,80.896
1,55,2,90.0,82.07
1,55,3,90.0,82.922
1,55,4,90.0,83.54
1,55,5,90.0,84.146
1,55,6,90.0,84.672
1,55,7,90.0,85.086
1,55,8,91.0,85.442
1,56,0,88.0,79.78
1,56,1,89.0,81.098
1,56,2,89.0,82.29
1,56,3,89.0,83.18
1,56,4,90.0,83.862
1,56,5,90.0,84.436
1,56,6,90.0,84.962
1,56,7,90.0,85.358
1,56,8,91.0,85.734
1,57,0,88.0,79.5
1,57,1,88.0,80.886
1,57,2,88.0,81.996
1,57,3,89.0,82.836
1,57,4,89.0,83.612
1,57,5,89.0,84.188
1,57,6,89.0,84.708
1,57,7,89.0,85.07
1,57,8,89.0,85.472
1,57,9,90.0,85.8
1,57,10,90.0,86.116
1,57,11,90.0,86.406
1,57,12,90.0,86.632
1,57,13,90.0,86.846
1,57,14,90.0,87.012
1,57,15,90.0,87.158
1,57,16,90.0,87.328
1,57,17,91.0,87.448
1,58,0,88.0,79.748
1,58,1,89.0,81.15
1,58,2,89.0,82.256
1,58,3,89.0,83.096
1,58,4,89.0,83.926
1,58,5,89.0,84.432
1,58,6,90.0,84.932
1,58,7,90.0,85.32
1,58,8,90.0,85.72
1,58,9,90.0,86.04
1,58,10,91.0,86.294
1,59,0,89.0,79.546
1,59,1,89.0,80.958
1,59,2,89.0,82.186
1,59,3,89.0,83.07
1,59,4,89.0,83.744
1,59,5,91.0,84.416
1,60,0,88.0,79.756
1,60,1,88.0,81.122
1,60,2,88.0,82.2
1,60,3,88.0,82.972
1,60,4,89.0,83.652
1,60,5,89.0,84.284
1,60,6,89.0,84.844
1,60,7,89.0,85.28
1,60,8,90.0,85.664
1,60,9,90.0,85.966
1,60,10,90.0,86.242
1,60,11,90.0,86.5
1,60,12,91.0,86.79
1,61,0,88.0,79.64
1,61,1,88.0,81.182
1,61,2,90.0,82.276
1,61,3,90.0,83.112
1,61,4,90.0,83.814
1,61,5,90.0,84.472
1,61,6,90.0,84.996
1,61,7,90.0,85.43
1,61,8,90.0,85.804
1,61,9,90.0,86.104
1,61,10,90.0,86.358
1,61,11,90.0,86.596
1,61,12,90.0,86.774
1,61,13,90.0,86.968
1,61,14,90.0,87.148
1,61,15,90.0,87.324
1,61,16,90.0,87.484
1,61,17,90.0,87.63
1,61,18,90.0,87.75
1,61,19,90.0,87.868
1,61,20,91.0,87.962
1,62,0,88.0,79.684
1,62,1,88.0,81.084
1,62,2,89.0,82.19
1,62,3,89.0,83.078
1,62,4,89.0,83.734
1,62,5,90.0,84.32
1,62,6,90.0,84.754
1,62,7,90.0,85.218
1,62,8,90.0,85.566
1,62,9,90.0,85.918
1,62,10,90.0,86.21
1,62,11,90.0,86.43
1,62,12,90.0,86.652
1,62,13,90.0,86.84
1,62,14,90.0,87.026
1,62,15,90.0,87.182
1,62,16,90.0,87.326
1,62,17,90.0,87.434
1,62,18,90.0,87.546
1,62,19,90.0,87.636
1,62,20,90.0,87.71
1,62,21,90.0,87.802
1,62,22,91.0,87.88
